Rough_ID,Rough_Weight_ct,Shape,Length_mm,Width_mm,Height_mm,Color,Clarity,Crack_Level,Cut_Type,Final_Weight_ct
R00942,1.48,Cushion,6.81,6.17,4.38,I,SI2,Low,Step,0.7
R00943,1.06,Round,5.97,5.46,3.86,E,VS1,Low,Step,0.48
R00944,3.8,Round,9.76,8.53,5.63,G,VS1,High,Mixed,1.14
R00945,2.63,Emerald,8.46,7.35,6.07,J,SI2,Medium,Step,1.01
R00946,0.92,Oval,6.29,6.09,3.88,D,SI1,Low,Step,0.37
R00947,2.32,Oval,8.04,6.84,5.09,H,VVS1,Low,Mixed,0.94
R00948,2.7,Oval,8.1,7.82,6.72,G,SI1,Low,Brilliant,1.02
R00949,3.6,Round,9.2,8.07,7.24,E,VS1,Medium,Brilliant,1.57
R00950,1.59,Cushion,6.7,5.84,3.53,H,VVS2,Low,Mixed,0.79
R00951,3.28,Round,8.65,7.79,5.79,F,VVS2,Low,Step,1.57
R00952,4.73,Emerald,10.28,9.12,7.92,F,VVS1,Low,Step,2.35
R00953,2.52,Round,8.57,7.41,4.86,I,IF,Low,Mixed,1.14
R00954,2.89,Pear,8.91,8.02,6.6,F,VVS1,Medium,Mixed,1.14
R00955,1.6,Pear,7.1,6.13,3.87,I,SI2,Medium,Brilliant,0.7
R00956,1.21,Oval,6.34,5.48,4.84,H,SI1,Low,Brilliant,0.48
R00957,0.51,Princess,4.49,4.19,2.83,F,VS1,Medium,Mixed,0.17
R00958,3.67,Princess,9.67,8.32,6.04,I,VVS1,Medium,Step,1.6
R00959,0.51,Pear,4.86,4.71,3.81,J,VS2,Medium,Brilliant,0.2
R00960,1.08,Round,6.41,5.82,4.85,E,VS2,Medium,Brilliant,0.47
R00961,3.08,Princess,8.24,8.15,6.14,J,VVS1,Medium,Step,1.21
R00962,3.63,Princess,9.27,8.12,4.98,E,VVS2,Low,Brilliant,1.54
R00963,3.32,Princess,8.7,8.47,6.44,F,IF,Medium,Mixed,1.34
R00964,4.45,Round,9.63,8.38,7.29,J,VVS2,Low,Brilliant,2.19
R00965,3.73,Pear,9.08,8.07,4.88,D,SI1,High,Mixed,1.18
R00966,3.53,Oval,9.58,8.51,6.7,F,VVS2,Low,Brilliant,1.36
R00967,3.03,Oval,8.99,8.66,5.6,G,IF,Medium,Step,1.27
R00968,1.15,Princess,5.97,5.85,3.84,D,VVS2,High,Brilliant,0.46
R00969,4.46,Emerald,10.19,9.71,6.37,G,IF,Low,Mixed,2.12
R00970,2.78,Round,8.66,8.41,6.57,J,SI2,Low,Mixed,1.33
R00971,4.69,Round,9.68,9.35,6.36,J,IF,Low,Mixed,1.81
R00972,3.76,Oval,9.17,8.77,5.79,F,VVS2,Medium,Step,1.32
R00973,1.03,Pear,5.62,5.36,4.22,F,IF,Low,Mixed,0.52
R00974,4.47,Emerald,9.8,8.33,5.56,F,VVS1,Low,Mixed,2.16
R00975,2.11,Princess,8.08,7.87,4.99,F,IF,High,Mixed,0.86
R00976,1.87,Pear,7.25,7.17,4.48,F,VS2,Medium,Brilliant,0.86
R00977,3.49,Cushion,8.75,8.31,5.74,I,VVS2,Low,Step,1.69
R00978,4.11,Oval,9.82,8.46,5.08,G,VS1,Medium,Mixed,1.88
R00979,4.05,Round,10.04,9.76,6.19,F,VVS1,High,Brilliant,1.57
R00980,3.91,Oval,9.31,8.6,6.4,J,SI1,Medium,Brilliant,1.51
R00981,2.1,Pear,7.73,7.2,5.38,I,VS1,Medium,Mixed,0.86
R00982,3.02,Round,8.87,8.54,6.93,F,VS2,Low,Step,1.44
R00983,4.8,Oval,10.54,9.05,6.38,J,SI2,Medium,Mixed,1.96
R00984,4.87,Emerald,10.58,9.38,7.96,I,VVS1,Medium,Step,2.27
R00985,3.75,Pear,9.52,8.7,5.36,J,VVS1,Medium,Brilliant,1.76
R00986,0.99,Emerald,5.62,4.98,3.01,E,SI1,Low,Mixed,0.47
R00987,3.58,Round,8.98,8.19,5.74,E,IF,Medium,Mixed,1.58
R00988,0.45,Pear,4.85,4.49,2.71,I,SI2,Medium,Step,0.16
R00989,4.62,Cushion,9.99,9.55,6.94,E,SI1,Low,Brilliant,2.28
R00990,2.18,Emerald,7.34,6.67,5.65,G,VS1,Medium,Step,0.97
R00991,3.37,Round,8.9,8.07,4.97,D,IF,Medium,Step,1.49
R00992,3.13,Round,9.12,7.79,5.33,J,VVS2,Low,Brilliant,1.44
R00993,2.89,Cushion,8.68,7.42,5.05,D,IF,Low,Step,1.2
R00994,0.74,Cushion,5.24,5.22,4.31,I,VVS2,Low,Brilliant,0.34
R00995,3.6,Round,8.79,8.01,6.59,H,SI2,Low,Step,1.49
R00996,2.54,Round,8.56,7.32,4.75,I,VVS1,Low,Brilliant,0.95
R00997,4.1,Emerald,9.76,9.42,6.11,H,SI2,Low,Step,1.63
R00998,2.4,Emerald,7.66,6.85,5.39,G,VVS1,Low,Brilliant,0.98
R00999,4.99,Princess,10.36,10.29,7.92,H,SI2,Low,Brilliant,2.43
R01000,2.64,Round,8.25,7.22,4.97,D,VVS1,Low,Mixed,1.22
R01001,3.93,Round,9.23,8.5,5.75,H,VS1,Medium,Brilliant,1.74
R01002,2.01,Pear,7.36,6.71,5.27,F,VVS2,Low,Brilliant,0.88
R01003,3.51,Round,9.12,8.11,7,I,SI2,Low,Brilliant,1.27
R01004,3.59,Round,9.25,8.08,5.1,E,VS1,Low,Step,1.59
R01005,3.45,Round,8.92,8.21,6.24,G,SI2,Low,Step,1.61
R01006,1.24,Round,6.27,5.63,5.06,F,VS1,Low,Brilliant,0.5
R01007,2.86,Cushion,8.97,7.82,5.19,D,SI2,Low,Step,1.18
R01008,4.01,Princess,10.01,8.83,5.86,F,SI1,High,Brilliant,1.44
R01009,0.69,Oval,4.87,4.44,3.06,I,VVS2,Low,Brilliant,0.29
R01010,4.2,Cushion,9.27,9.13,6.41,G,VS1,Low,Mixed,1.89
R01011,3.54,Pear,8.81,8.41,5.94,J,VS2,Low,Brilliant,1.34
R01012,0.67,Princess,5.42,5.11,3.56,D,VVS1,Medium,Step,0.24
R01013,4.69,Round,10.04,9.01,7.55,G,SI2,Low,Brilliant,1.96
R01014,3.28,Pear,9.05,8.48,5.18,J,VVS1,High,Mixed,1.17
R01015,2.07,Princess,7.49,7.44,6.63,D,VVS2,High,Step,0.76
R01016,2.66,Pear,8.68,8.29,6.59,G,VS2,Low,Step,1.19
R01017,0.83,Princess,5.31,4.85,3.17,J,SI1,Low,Mixed,0.36
R01018,3.5,Round,9.24,8.83,7.78,D,SI1,High,Brilliant,1.19
R01019,3.2,Pear,8.75,8.09,6.68,J,IF,Low,Mixed,1.38
R01020,1.66,Round,7.02,6.2,4.57,F,SI2,Low,Step,0.65
R01021,2.24,Pear,8.17,7.81,6.42,F,VVS2,High,Mixed,0.78
R01022,1.54,Round,7.27,7.05,5.11,D,IF,Low,Brilliant,0.6
R01023,4.02,Cushion,9.88,9.17,7.54,E,VS2,Low,Step,1.53
R01024,1.21,Cushion,6.54,6.37,5.35,I,VVS1,Low,Step,0.45
R01025,4.55,Pear,9.96,9.12,5.74,J,VS1,Low,Mixed,2.09
R01026,4.61,Emerald,10.32,9.02,6.28,J,VS2,Low,Brilliant,2.1
R01027,0.43,Cushion,4.74,4.68,2.92,I,SI1,Low,Step,0.17
R01028,1.18,Cushion,6.49,5.73,3.77,J,VVS2,Medium,Mixed,0.44
R01029,0.54,Pear,4.47,3.9,2.37,D,IF,Medium,Brilliant,0.24
R01030,1.63,Round,7.46,6.44,4.82,G,SI2,High,Brilliant,0.65
R01031,2.24,Cushion,7.84,7.4,4.91,J,VVS1,Low,Brilliant,1.02
R01032,1.7,Princess,7.56,7.17,5.66,G,VS2,Low,Mixed,0.8
R01033,2.87,Pear,8.19,7.87,6.91,H,SI2,Medium,Brilliant,1.17
R01034,1.32,Oval,6.45,6.35,3.87,F,VVS2,Low,Step,0.55
R01035,1.24,Pear,6.04,5.78,4.6,G,VVS1,Medium,Step,0.5
R01036,1.11,Pear,6.4,6.29,4.3,F,VVS1,Low,Brilliant,0.44
R01037,4.78,Round,10.09,9.91,7.21,H,VS1,Low,Step,2.1
R01038,1.24,Pear,6.3,6.2,5.24,F,VS2,Low,Step,0.6
R01039,1.68,Princess,7.46,7.06,6.28,G,SI2,Low,Brilliant,0.81
R01040,1.98,Emerald,7.11,6.74,4.8,D,SI1,Low,Step,0.94
R01041,1.3,Pear,6.62,5.95,3.99,E,IF,Low,Mixed,0.57
R01042,1.61,Emerald,7.14,7.02,6.02,J,VS1,Low,Step,0.69
R01043,4.12,Round,9.32,7.99,5.98,G,VVS1,High,Mixed,1.6
R01044,1.84,Round,7.24,6.78,4.65,G,VVS2,Medium,Brilliant,0.7
R01045,4.26,Cushion,9.63,9.48,8.3,D,SI2,Low,Step,2.16
R01046,3.7,Round,9.05,8.72,6.28,G,VVS2,Medium,Mixed,1.47
R01047,4.92,Oval,10.2,9.65,8.43,D,SI2,High,Brilliant,2.03
R01048,0.95,Princess,6.39,6.26,5.12,J,VS2,Low,Brilliant,0.45
R01049,4.69,Princess,10.41,9.25,7.73,F,SI1,Low,Mixed,2.21
R01050,4.02,Oval,9.42,8.99,7.89,J,VS2,Low,Step,1.88
R01051,3.29,Princess,9.09,8.44,5.67,J,SI1,Medium,Step,1.12
R01052,1.36,Emerald,6.41,5.73,3.58,I,SI2,Medium,Brilliant,0.58
R01053,3.57,Oval,8.75,8.09,5.37,G,IF,Low,Step,1.36
R01054,1.28,Emerald,6.61,6.14,5.27,E,SI2,High,Mixed,0.41
R01055,0.8,Cushion,5.2,5.14,3.68,E,IF,Medium,Step,0.32
R01056,2.29,Emerald,8.09,8.03,6.21,D,VVS1,Low,Brilliant,0.92
R01057,4.5,Pear,9.59,8.19,6.54,D,VVS2,Low,Step,2.14
R01058,1.3,Emerald,6.45,5.9,4.13,G,SI1,Low,Step,0.62
R01059,1.21,Emerald,6.08,5.33,3.64,D,SI1,Low,Brilliant,0.52
R01060,4.81,Princess,9.85,8.45,5.16,E,VS2,Low,Mixed,2.09
R01061,3.66,Oval,9.14,7.91,6.49,F,SI1,Low,Step,1.66
R01062,3.62,Emerald,9,7.65,5.01,E,VVS1,Medium,Step,1.3
R01063,3.5,Round,8.78,7.9,5.82,E,VVS2,Medium,Brilliant,1.5
R01064,1.1,Oval,6.45,5.49,3.87,G,IF,Low,Brilliant,0.47
R01065,4.15,Round,9.71,9.7,8.25,D,VVS2,Low,Mixed,1.64
R01066,1.88,Round,7.4,6.68,5.1,J,VVS2,Low,Step,0.82
R01067,3.64,Pear,9.62,9.29,7.96,I,SI1,Low,Brilliant,1.64
R01068,1,Emerald,5.91,5.22,4.69,I,VS1,Low,Step,0.47
R01069,1.27,Emerald,6.09,6.02,4.29,H,VS1,High,Mixed,0.42
R01070,1.12,Princess,6.64,5.99,4.19,E,IF,Low,Mixed,0.41
R01071,2.74,Princess,8.24,7.76,5.67,F,IF,Low,Brilliant,1.08
R01072,2.64,Princess,8.48,7.8,5.03,G,VVS2,Medium,Brilliant,1.03
R01073,4.06,Round,9.09,7.78,5.33,G,VVS2,Low,Mixed,1.72
R01074,4.22,Pear,9.25,8.05,6.95,E,IF,Medium,Mixed,1.54
R01075,1.57,Princess,7.47,6.57,5.1,E,SI2,Low,Mixed,0.79
R01076,3.29,Oval,8.85,8.81,5.55,H,VS1,High,Mixed,1.17
R01077,4.42,Princess,10.15,8.84,7.34,F,IF,Low,Step,1.91
R01078,2.96,Emerald,8.74,8.14,5.8,F,VS2,Low,Mixed,1.27
R01079,3.65,Round,9.21,8.42,6.11,J,VS1,Low,Brilliant,1.4
R01080,3.85,Pear,9.52,8.52,5.73,F,IF,Low,Step,1.58
R01081,0.89,Round,5.94,5.46,4.53,F,SI2,Low,Mixed,0.43
R01082,0.8,Emerald,5.66,5.51,4.24,H,SI1,Low,Mixed,0.38
R01083,3.78,Emerald,8.9,7.84,5.04,I,SI2,High,Brilliant,1.48
R01084,1.71,Round,6.99,6.98,4.2,D,VVS1,Medium,Mixed,0.74
R01085,4.44,Round,9.88,8.76,5.53,D,VVS2,Medium,Step,1.89
R01086,2.57,Emerald,7.9,6.99,5.97,H,IF,Medium,Step,0.99
R01087,0.99,Pear,5.5,4.79,3.94,E,VS1,Low,Step,0.41
R01088,1.66,Round,7.27,7.23,5.41,G,VS1,Low,Step,0.72
R01089,1,Emerald,5.78,5.02,3.6,H,VS1,Low,Brilliant,0.41
R01090,4.57,Princess,9.81,8.54,7.38,H,SI2,Low,Mixed,1.7
R01091,1.29,Emerald,6.93,6.44,4.86,H,VVS2,Medium,Step,0.56
R01092,3.66,Emerald,9.53,8.5,7.04,G,VS1,High,Step,1.54
R01093,3.15,Princess,8.48,8.11,6.1,H,VS2,Low,Step,1.46
R01094,3.05,Round,9.03,7.77,4.73,G,SI1,Low,Step,1.42
R01095,1.82,Oval,7.06,6.82,5.97,I,VS1,Low,Step,0.67
R01096,4.64,Pear,9.57,8.49,5.19,I,SI2,Low,Brilliant,1.79
R01097,4.64,Princess,9.83,9.39,6.7,G,VS1,Low,Mixed,2.12
R01098,1.64,Round,6.78,5.93,5.01,I,SI1,Medium,Brilliant,0.71
R01099,1.26,Princess,6.79,6.68,4.73,E,SI1,Low,Mixed,0.49
R01100,4.8,Princess,10.35,9.62,6.32,F,VS2,Low,Mixed,2.13
R01101,4.31,Pear,10.07,9.22,7.26,F,IF,Low,Brilliant,2.12
R01102,2.64,Emerald,7.84,7.3,4.43,F,IF,High,Brilliant,1.05
R01103,4.85,Round,9.73,9.11,7.8,H,SI1,Low,Brilliant,2.11
R01104,3.04,Princess,9.13,9.11,7.25,J,IF,Low,Brilliant,1.46
R01105,1.26,Pear,6.8,6.12,5.06,H,SI1,Low,Brilliant,0.63
R01106,1.93,Oval,7.04,6.42,5.28,F,SI1,Medium,Brilliant,0.81
R01107,0.79,Oval,5.54,4.9,3.45,D,IF,Low,Brilliant,0.31
R01108,3.94,Cushion,9.79,9.11,7.82,D,VS1,Medium,Step,1.76
R01109,3.57,Princess,9.1,8.32,5.34,F,VVS1,Low,Step,1.48
R01110,2.35,Pear,7.53,6.66,5.17,H,IF,Low,Brilliant,0.97
R01111,4.4,Princess,9.58,8.22,5.07,H,SI1,Low,Brilliant,2.13
R01112,4.99,Pear,9.88,8.99,7.17,E,VS1,Low,Mixed,2.25
R01113,3.76,Pear,9.19,9.07,6.04,F,SI2,Low,Mixed,1.63
R01114,1.45,Emerald,7.18,6.45,4.92,H,VS1,Low,Step,0.58
R01115,0.67,Princess,5.66,5.53,4.18,I,SI2,Medium,Brilliant,0.3
R01116,0.47,Princess,4.4,4.03,3.34,F,VS2,Low,Step,0.19
R01117,1.71,Cushion,7.64,6.56,5.62,G,IF,Low,Brilliant,0.66
R01118,1.27,Round,6.18,5.65,3.48,H,SI2,Low,Step,0.52
R01119,4.64,Pear,10.41,10.11,7.86,G,SI2,Low,Step,1.8
R01120,3.98,Emerald,9.94,9.57,8.06,F,SI2,Low,Mixed,1.59
R01121,2.48,Oval,8.19,7.66,5.79,E,IF,High,Step,0.94
R01122,4.06,Round,10.02,8.65,5.84,H,VVS2,Low,Step,1.69
R01123,1.56,Princess,6.71,6.36,5.29,J,VVS2,Low,Brilliant,0.69
R01124,2.39,Oval,7.54,6.42,3.92,G,IF,Low,Mixed,0.94
R01125,4.71,Princess,9.83,9.26,6.43,F,SI2,Low,Step,2.24
R01126,0.9,Oval,5.92,5.16,4.05,I,VS2,Low,Step,0.39
R01127,3.03,Round,8.22,7.87,4.87,I,SI2,High,Step,0.88
R01128,2.84,Oval,8.04,7.12,4.51,E,VVS2,Low,Mixed,1.21
R01129,2.05,Princess,7.94,7.24,5.74,F,VS1,Low,Mixed,0.94
R01130,2.06,Pear,8.08,7.22,4.4,D,IF,Low,Mixed,0.79
R01131,1.29,Oval,6.34,6.07,4.99,G,SI2,Low,Mixed,0.56
R01132,0.45,Oval,4.82,4.37,3.93,H,VS2,High,Mixed,0.14
R01133,3.26,Emerald,9.13,8.5,5.41,H,VS2,Medium,Step,1.25
R01134,1.79,Princess,6.98,6.54,5.71,E,VS1,Low,Step,0.72
R01135,3.82,Pear,8.99,7.97,6.53,D,VVS2,Low,Mixed,1.72
R01136,2.58,Cushion,7.96,7.7,5.15,I,VS2,High,Mixed,1.04
R01137,0.95,Oval,5.66,5.05,3.51,H,VS1,Low,Mixed,0.42
R01138,4.44,Pear,9.56,8.38,6.17,I,VS1,Low,Mixed,2.1
R01139,0.77,Pear,5.87,5.72,3.47,G,VS1,High,Step,0.32
R01140,0.9,Pear,5.99,5.31,3.65,H,VS2,Medium,Brilliant,0.32
R01141,4.97,Emerald,9.78,9.4,6.64,J,VS1,High,Step,1.71
R01142,3.86,Round,9.61,9.23,7.54,E,IF,High,Mixed,1.16
R01143,3.09,Round,8.91,8.18,5.69,E,VVS2,Low,Step,1.34
R01144,1.9,Oval,7.5,7.38,5.71,E,IF,Low,Mixed,0.85
R01145,4.45,Oval,10.1,9.24,6.32,D,VVS2,Low,Step,1.96
R01146,2.59,Oval,7.96,6.97,6.15,I,VVS2,High,Brilliant,0.87
R01147,0.75,Pear,5.5,5.09,3.31,H,SI2,High,Brilliant,0.22
R01148,0.33,Oval,4.48,3.83,2.53,J,VS1,Low,Step,0.14
R01149,4.61,Oval,10.2,10.08,6.41,F,SI1,Low,Mixed,2.22
R01150,0.85,Princess,5.54,4.77,4,F,VS1,Low,Mixed,0.39
R01151,3.76,Pear,9.5,8.18,6.6,F,VVS1,Low,Mixed,1.5
R01152,3.41,Oval,9.41,8.05,6.36,I,VVS1,Low,Step,1.5
R01153,2.51,Pear,8.14,7.15,5.36,J,SI1,Low,Mixed,1
R01154,1.31,Princess,6.5,6,4.7,H,VS1,Low,Mixed,0.56
R01155,3.04,Princess,8.83,8.15,6.5,I,VS1,Medium,Step,1.13
R01156,4.04,Princess,9.45,8.54,6.36,G,VS1,Low,Step,1.58
R01157,1.46,Emerald,6.73,5.9,5.23,E,SI2,Low,Step,0.58
R01158,4.25,Cushion,10.08,9.48,7.64,D,VS2,Low,Step,1.91
R01159,1.53,Cushion,6.73,6.12,4.48,I,VVS1,Low,Step,0.74
R01160,3.29,Round,8.47,7.77,5.18,H,VS2,Low,Step,1.35
R01161,0.91,Princess,5.85,5.81,3.52,J,SI2,Low,Mixed,0.37
R01162,0.6,Emerald,4.61,4.06,3.09,E,VVS2,Medium,Brilliant,0.26
R01163,4.58,Pear,9.8,8.65,7.09,D,VS2,Low,Step,2.32
R01164,4.02,Princess,9.08,8.1,4.92,I,IF,Medium,Step,1.69
R01165,3.38,Emerald,8.64,8.3,5.65,J,SI1,Low,Step,1.51
R01166,0.39,Oval,4.63,4.31,3.77,J,VS2,Medium,Step,0.15
R01167,3.99,Emerald,9.44,9.08,6.27,H,VS1,Low,Step,1.82
R01168,1.67,Pear,6.71,6.68,5.13,E,VS1,Low,Brilliant,0.68
R01169,4.97,Round,10.47,10.39,8.61,G,SI2,Low,Brilliant,2.24
R01170,2.4,Round,8.01,6.94,4.81,H,VVS1,Medium,Brilliant,0.86
R01171,4.36,Pear,9.79,8.69,5.58,J,VVS1,Medium,Brilliant,1.7
R01172,3.91,Pear,9.2,8.25,5.79,G,SI2,Low,Brilliant,1.65
R01173,1.56,Princess,6.67,6.23,4.65,G,SI1,Low,Step,0.64
R01174,2.72,Oval,8.73,8.72,5.45,J,IF,Low,Brilliant,1.35
R01175,2.74,Oval,8.02,7.05,6.07,I,SI2,Low,Mixed,1.25
R01176,2.59,Emerald,8.49,7.91,5.69,I,VVS2,Low,Mixed,0.98
R01177,1.82,Pear,7.72,7.21,4.68,I,VVS2,Low,Mixed,0.86
R01178,3.14,Oval,8.76,7.72,5.4,E,VS2,Medium,Mixed,1.08
R01179,4.2,Emerald,9.19,8.39,5.41,E,VVS1,High,Mixed,1.83
R01180,0.74,Pear,5.39,4.66,3.67,E,VVS2,Low,Mixed,0.33
R01181,0.37,Pear,4,3.57,3.12,J,VS1,Low,Step,0.17
R01182,2.94,Princess,8.74,7.69,5.98,H,IF,Medium,Brilliant,1.3
R01183,4.05,Emerald,9.65,9.31,6.51,J,VS2,Medium,Mixed,1.5
R01184,4.57,Oval,9.67,8.22,5.5,E,VVS1,Low,Step,1.85
R01185,4.41,Cushion,9.66,9.51,5.85,F,VVS2,Medium,Mixed,1.79
R01186,3.87,Pear,9.16,8.33,6.93,F,VS2,Low,Brilliant,1.7
R01187,4.45,Pear,10.21,10.14,8.96,G,VS1,Medium,Mixed,1.63
R01188,4.01,Cushion,9.72,9.08,6.63,J,SI1,Low,Step,1.57
R01189,3.72,Emerald,9.01,8.42,7.57,D,VVS1,Low,Step,1.78
R01190,2,Round,7.25,6.8,4.75,H,VVS2,High,Brilliant,0.73
R01191,3.34,Pear,9.11,8.29,7.45,J,IF,Low,Mixed,1.34
R01192,4.66,Pear,10.52,9.94,7.43,J,IF,Medium,Brilliant,1.78
R01193,2.04,Cushion,7.72,7.39,6,J,SI2,Medium,Brilliant,0.93
R01194,0.56,Emerald,5.08,4.37,2.75,H,SI1,Low,Brilliant,0.21
R01195,1.86,Princess,7.55,7.44,6.47,H,IF,High,Mixed,0.68
R01196,2.19,Round,8.13,7.73,4.79,E,VS1,Low,Brilliant,0.85
R01197,1.59,Princess,6.7,6.2,4.04,F,VS2,Medium,Step,0.53
R01198,0.85,Oval,5.65,5.51,3.45,I,IF,Low,Brilliant,0.32
R01199,1.79,Round,7.41,6.32,4.11,I,VVS1,Low,Step,0.83
R01200,4.24,Cushion,9.85,9.7,6.38,I,VVS2,Medium,Brilliant,1.72
R01201,1.61,Princess,7.1,6.48,5.51,F,SI1,Medium,Step,0.72
R01202,1.54,Emerald,6.92,6.48,4.57,J,VVS1,Low,Brilliant,0.59
R01203,4.76,Emerald,10.18,8.89,6.85,J,VVS2,Low,Brilliant,1.9
R01204,1.91,Princess,7.91,7.38,6.07,E,VS1,Low,Step,0.77
R01205,0.45,Pear,4.21,3.99,2.62,G,SI1,Low,Mixed,0.21
R01206,4.54,Princess,9.76,8.45,5.98,I,IF,Low,Brilliant,2.06
R01207,4.59,Pear,9.78,9,5.9,H,SI1,Low,Step,2
R01208,3.74,Princess,9.29,8.24,6.73,D,VVS1,Low,Mixed,1.5
R01209,0.81,Princess,5.52,4.92,3.8,H,SI1,Low,Mixed,0.34
R01210,1.23,Round,6.9,6.64,4.24,F,SI2,Medium,Brilliant,0.56
R01211,4.07,Princess,9.54,8.35,5.01,D,VVS1,Low,Brilliant,1.97
R01212,4.33,Cushion,9.72,9.32,6.02,E,VVS2,Medium,Brilliant,1.78
R01213,2.51,Oval,8.34,7.96,6.96,J,IF,Low,Step,1.07
R01214,0.9,Cushion,6.06,5.27,4.38,H,VS1,Medium,Mixed,0.34
R01215,0.64,Oval,5.16,4.96,3.85,F,VVS2,Medium,Step,0.29
R01216,2.66,Oval,7.81,7.34,5.28,D,VVS1,Medium,Step,1.22
R01217,2.35,Cushion,7.82,7.41,5.39,D,VVS2,Low,Step,0.98
R01218,1.14,Round,6.17,5.72,3.61,I,SI2,Low,Step,0.45
R01219,4.08,Emerald,9.1,8.17,6.31,I,VS1,Medium,Step,1.88
R01220,3.93,Pear,9.27,8.24,6.51,F,SI2,Medium,Step,1.35
R01221,3.65,Cushion,9.58,9.54,6.04,J,SI1,High,Brilliant,1.35
R01222,1.01,Cushion,5.86,5.8,4.51,G,IF,Low,Step,0.43
R01223,1.62,Princess,6.67,6.16,4.37,I,VVS2,Medium,Brilliant,0.68
R01224,2.85,Round,8.19,7.4,4.48,F,SI1,Low,Brilliant,1.4
R01225,2.8,Cushion,8.35,7.32,5.57,F,VVS2,Medium,Step,1.11
R01226,3.54,Round,8.89,8.66,7.37,D,VVS2,Medium,Step,1.34
R01227,0.48,Round,4.81,4.61,3.89,F,SI1,Low,Mixed,0.19
R01228,1.72,Cushion,7.09,6.22,5.13,D,SI2,Medium,Brilliant,0.59
R01229,2.98,Princess,9.13,8.6,6.55,H,VS1,Low,Brilliant,1.13
R01230,3.88,Cushion,9.37,9.01,7.51,E,SI1,Low,Step,1.91
R01231,1.58,Emerald,6.9,5.88,4.26,F,IF,Low,Brilliant,0.71
R01232,1.36,Pear,6.86,6.06,4.75,G,SI1,Medium,Mixed,0.47
R01233,1.85,Oval,7.25,7.17,4.33,G,SI2,Low,Mixed,0.73
R01234,2.65,Round,8.34,7.3,5.23,I,VS1,Low,Mixed,1.03
R01235,4.93,Emerald,9.79,9.42,7.15,G,IF,Low,Brilliant,2.27
R01236,3.24,Pear,8.55,7.72,5.63,I,VS1,Low,Brilliant,1.16
R01237,2.06,Round,7.67,6.95,6.15,H,VVS2,Low,Brilliant,0.99
R01238,4.36,Cushion,10.07,10.05,8.98,H,VVS2,Low,Step,1.73
R01239,3.92,Pear,9.59,9.11,7.34,H,VS1,Medium,Brilliant,1.61
R01240,4.34,Cushion,9.78,8.99,7.62,F,IF,Low,Mixed,1.67
R01241,4.2,Cushion,9.94,9.43,7.59,G,VVS1,Low,Mixed,1.8
R01242,0.44,Round,4.29,4.04,3.03,F,VS2,Low,Brilliant,0.18
R01243,1.08,Emerald,6.28,5.98,5.3,G,VS2,Medium,Mixed,0.4
R01244,4.36,Oval,10.15,8.87,6.3,F,VVS1,Low,Step,1.69
R01245,0.6,Oval,4.59,4.3,3.17,G,VS2,Medium,Mixed,0.2
R01246,0.82,Round,5.72,5.15,4.51,D,SI1,Low,Brilliant,0.34
R01247,3.51,Princess,9.02,8.37,6.2,I,VS2,Low,Brilliant,1.55
R01248,3.66,Princess,9.35,9.33,7.6,J,VS1,Low,Mixed,1.47
R01249,3.91,Round,9.32,8.92,6.72,E,SI2,Low,Step,1.51
R01250,3.86,Oval,9.49,9.19,7.5,J,VS1,Low,Brilliant,1.75
R01251,1.54,Princess,6.76,6.45,4.76,F,VVS2,Low,Mixed,0.69
R01252,2.39,Pear,8.31,7.94,6.12,F,IF,Low,Brilliant,1.11
R01253,4.44,Cushion,9.93,9.5,6.57,I,VS1,Low,Mixed,1.78
R01254,1.69,Oval,7.39,7.05,4.54,D,SI2,Medium,Brilliant,0.74
R01255,3.04,Cushion,8.34,7.1,5.04,G,VS2,Medium,Brilliant,1.02
R01256,4.87,Cushion,10.31,9.67,7.26,I,VVS1,Low,Mixed,1.86
R01257,2.57,Oval,8.2,7.44,5.96,E,VVS2,Low,Mixed,1.21
R01258,3.96,Round,9.78,9.27,6.55,J,SI1,Low,Mixed,1.63
R01259,4.52,Round,10.16,9.19,5.6,F,VS2,Low,Mixed,1.99
R01260,4.28,Princess,9.78,8.43,7.08,J,SI1,Low,Brilliant,1.97
R01261,3.54,Princess,9.3,8.25,6.66,H,VVS2,Low,Brilliant,1.32
R01262,3.79,Oval,9.59,9.47,8.26,E,VS2,Low,Mixed,1.88
R01263,2.54,Round,7.78,7.64,4.7,G,IF,Medium,Step,1.07
R01264,1.23,Round,6.47,5.71,4.26,I,VS1,Low,Mixed,0.53
R01265,1.22,Princess,6.72,6.33,4.66,G,SI1,Low,Brilliant,0.56
R01266,1.84,Princess,7.34,6.55,5.2,I,VS2,Medium,Mixed,0.81
R01267,1.75,Pear,7.17,7.15,6.32,G,VS1,Low,Brilliant,0.67
R01268,1.14,Oval,6.53,6.21,3.9,E,SI2,Low,Brilliant,0.46
R01269,3.89,Pear,9.15,8.47,5.9,E,VS2,Low,Mixed,1.57
R01270,1.03,Pear,5.72,5.52,4.61,G,SI1,Medium,Mixed,0.47
R01271,4.01,Princess,9.81,8.73,7.68,E,VVS2,High,Step,1.28
R01272,3.72,Cushion,9.63,8.64,5.98,D,VS1,Low,Step,1.61
R01273,3.34,Princess,8.61,7.91,5.4,F,SI2,Low,Step,1.33
